Title,Content
"Setup Redis in (Much) Less Than 60 seconds!","I have been away for some time from this blog, but that was for a reason, I got a new job at Redis (and I can’t hide I am truly enthusiastic about my new position as Technical Enablement Architect!), and taking some time to onboard and extend my knowledge of the awesome Redis server, the popular in-memory key-value storage. So my future posts will likely be about Redis and the infinite chances to “getting things done” using this very nice solution. Maybe you know Redis as an efficient caching layer, but once you get to know it a bit more, you realize that Redis has all the qualities to be your only primary database (and especially once you discover Redis Enterprise features for a highly scalable and configurable solution). You can create a free Redis Cloud account here. Maybe it won’t be a matter of seconds, but I promise it will be just a few minutes! You can get a 30MB database and a public endpoint to authenticate right away from your laptop. No VPN, no certificates setup, can’t be easier. And it’s free, forever!"
"Things I learnt to improve communication at work","What happens when communication between people is not that efficient and clear in the business world? I am sure you know pretty well the following picture. Misunderstandings happen all the time when the actors in discussions, conversations or negotiations have an idea in mind which is tough to convey. Or when one is not really listening to the other and just have his own idea in mind. Sadly, misunderstandings happen. Quite often. And this problem is time and money consuming. But above all, relationships get severely affected when expectation is betrayed, somehow, by too many assumptions. What I learnt is that in order to make ideas caught by a partner and across the different communication channels, simple rules need to be followed. Let’s go through some ideas."
"Differences between Copyright, Copyleft and Creative Commons","Motivated by the suspension of famous Spanish writer Javier Marias’ blog because of license infringement, I searched the web and found the following comparison of licenses to stay on the safe side when reusing, mentioning or modifying content found on the web. The infringement was reported by Michael Magras: part of a post from his blog was copied in Marias’ blog without acknowledging the authorship. This resulted in a claim to WordPress blogging platform and consequent suspension of the blog. All the three licenses have something in common: they all deal with author’s rights. They just differs in the way they protect them. Copyright is the most popular license, and unfortunately it’s the most used one. It allows full rights to the owner of the work (that may not be the very author), and he’s the only one that may decide what to do with it, whether to charge for it or not, besides having to request permission for usage. Distribution is only restricted to the owner of the creation, that means the license only allows possession but not distribution. This is usually applied to books, music, movies and software, as an example. Copyleft and Creative Commons license are pretty the same, this is because copyleft is the mother license for Creative Commons. This is quite the opposite of Copyright. Works are not restricted by any constraint: they can be modified, shared with other users and content can be copied. Modification of original work may even be commercial. Find more information here."
"Your first meditation in three steps: Anapanasati yoga","There’s a lot of buzz around meditation, and for those who are not into that, it sounds a bit like a mysterious way to achieve who knows what. Enlightenment, peace of senses, eternal pleasure or visits to other dimensions? This is not exactly like that, but benefits that people receive by practicing meditation are tangible and immediate. Mind relaxation, better concentration and improved consciousness of oneself. The good thing is that everybody can meditate and no special preparation is needed nor a special place or time of the day. The purpose of this technique, known as Anapanasati yoga, is to enhance consciousness of yourself. Your thoughts wander throughout all the day randomly, you can’t do much to control them. Your thoughts will drift, and so they’ll do during this simple breath observation technique. But don’t worry, this is a challenge that’s part of the exercise. Just make sure you realize you jumped to other thoughts, to your family, your duties and obligations. Don’t feel guilty for that, but once you notice you have abandoned the practice, go back to it, go back to breath observation. Don’t expect things will happen. Keep expectation low. Just consider the way you feel once the session is over. Once you are used to this practice, don’t wait for the perfect moment for it. Every moment of the day and in any place it’s perfect. In the bus, while waiting the subway… these are perfect places for Anapanasati yoga. You don’t even need to keep you eyes opened. You can even observe your breath while walking in the street, this method won’t take consciousness away from what’s happening around you. And why not, try that for some minutes in front of your computer at work. Nobody will notice that!"
"Free Open Source Software in your company","The vast majority of companies in software industry struggle to cut costs down while trying to keep quality of software high, but this is not easy to accomplish. Software development is radically different from any other industry you may want to consider for a comparison; in order to be a successful firm neither large investments nor brute force are strategic assets. The new wave of millionaire start-up businesses prove that besides a brilliant idea, user experience, great design and definitely competitive time to market are critical. Consider the main resource of any business: employees, as an example. Increasing number of employees does not ensure goals are achieved either faster or even with better quality (back to the start-up mention, Instagram started with less than ten employees). Nevertheless, hiring top class experts in this business may be the added value: experience and talent are essential when building intellectual value. Cutting costs down and taking advantage of expertise, that’s what triggered the adoption of Free Open Source Software (FOSS) in this industry. Professionalism and passion of huge number of communities of developers are among the main reasons for company to rely on FOSS. Not just because by adopting software components ready to use accelerates production and delivery, but also because quality uses to be assured by an army of skilled volunteers. On the other side, bringing FOSS into development processes must be done with care. Free software doesn’t mean free of control. FOSS is always released with a license, and it’s responsibility of the adopter to comply with constraints of that license."
"The creative process","Companies spend a lot of money in finding the best creative people, strategists, advertisers and brilliant —and expensive— talents. Besides, you can find hundreds of resources dealing with the challenge of thinking different, self-improvement trainings, coaching sessions, brainstorming exercises, breaking ways of working… Actually some tutorials may be really inspiring, and the more material you collect, the more aware you are about the behaviors to maintain and to avoid in order to enhance your inspiration. But never forget, that a relaxed attitude often helps to have the possibility to produce wonderful combinations and the craziest ideas. This is the reason why people have great ideas in the bathroom. So take your time and experiment, mix experiences from different environment and increase your background, even randomly. You can never tell where that astonishing discovery may hide. Live."
"iPad update and family quarrel","My mother sustains that my father —he’s 73 years old and owner of his first Internet connected device ever since August: the new iPad— only wanted to “have that red spot disappear” (the notification of firmware update). She also added that she’s upset because in the last four months he’s been stuck to his iPad the whole day, and that he gets angry at the tablet because he wants to learn more and more but he still commits errors. My father replies this is not true and that he uses the iPad just from time to time along the day to discover what sickness is associated to his symptoms. My mother sustains he’s lying, and that he’s getting day by day more nervous and that at his age he shouldn’t spend his whole time in front of a screen."
"Extraordinariness is not ordinary","Who has ever been acknowledged for doing something the extraordinary way —a great speech, a performance or a job— surely remembers that occasion with delight. Every once in a while, he enjoys the memory of that sublime moment and possibly wonder what was so determining to have himself covered with glory. And maybe one might wish to find out the recipe to repeat those brilliant actions to ensure success over and over again. What is extraordinariness like. It is what goes beyond, the result that nobody ever imagined might be possible. It is not a matter of exceeding expectation. It means astonishing people thanks to the impact of the unexpected and the anxiety of perfection; it is scaring, provocative, surprising and uncomfortable. It makes you jump off the chair. It is freedom from the chains of common sense, it is the conclusion nobody was waiting for. And maybe when nobody was even expecting a conclusion to come. Free initiave out of schemas is extraordinariness. In a world that promotes team work, collaborative environments, factotum employees and supportive behaviours, the outcome of the artist is extraordinariness, it is the production of the creative mind doing it all the indipendent way, out there alone."
"How to close your speech with impact","Whenever you speak in public, never forget to start with a great introduction to capture your audience from the very beginning. But also, never forget to close your speech in an unforgettable manner. Your conclusions must awake people inner feelings, you must inspire them and provide them with a practical way to introduce your lesson into their own life. If you don’t transmit values and touch people’s heart, your preparation and work would seem boring and useless to them. Your conclusion must also deliver the sense that your speech is over, not just by saying “Thanks so much for your attention”."
"The real innovation funnel in companies","If you think that innovating in your company is a hard stuff, welcome! We are a bunch of people convinced that you have to pass through difficult, or better, impossible challenges to see an idea reach the production stage and possibly provide benefits. I heard that one idea out of a hundred good ones reach maturity stage and turns into reality, somehow. According to my experience, this is true. But it does not represent a problem, really. Start brainstorming as soon as possible, you’ll need plenty of smart ideas. The winning idea is like the Highlander, there can be only one."
